Label_Lexi,Region_Lexi,Label_Delin,Net_Delin,Label_Yeo,ROI_Yeo,R,A,S,Label_ggseg,region_ggseg,ROI_Data,,,,,Label_Lab
1,Schaefer2018_17Networks_LH_VisCent_ExStr_1,1,VisCent,1,17Networks_LH_VisCent_ExStr_1,-36,-62,-16,lh_17Networks_LH_VisCent_ExStr_1,VisCent_ExStr_1,X17Networks_LH_VisCent_ExStr_1,,,,1,Schaefer2018_17Networks_LH_VisCent_ExStr_1
2,Schaefer2018_17Networks_LH_VisCent_ExStr_2,1,VisCent,2,17Networks_LH_VisCent_ExStr_2,-24,-72,-10,lh_17Networks_LH_VisCent_ExStr_2,VisCent_ExStr_2,X17Networks_LH_VisCent_ExStr_2,,,,2,Schaefer2018_17Networks_LH_VisCent_ExStr_2
2,Schaefer2018_17Networks_LH_VisCent_ExStr_3,1,VisCent,3,17Networks_LH_VisCent_ExStr_3,-36,-82,-16,lh_17Networks_LH_VisCent_ExStr_3,VisCent_ExStr_3,X17Networks_LH_VisCent_ExStr_3,,,,3,Schaefer2018_17Networks_LH_VisCent_ExStr_3
3,Schaefer2018_17Networks_LH_VisCent_ExStr_4,1,VisCent,4,17Networks_LH_VisCent_ExStr_4,-16,-86,-16,lh_17Networks_LH_VisCent_ExStr_4,VisCent_ExStr_4,X17Networks_LH_VisCent_ExStr_4,,,,4,Schaefer2018_17Networks_LH_VisCent_ExStr_4
4,Schaefer2018_17Networks_LH_VisCent_ExStr_5,1,VisCent,5,17Networks_LH_VisCent_ExStr_5,-24,-96,-12,lh_17Networks_LH_VisCent_ExStr_5,VisCent_ExStr_5,X17Networks_LH_VisCent_ExStr_5,,,,5,Schaefer2018_17Networks_LH_VisCent_ExStr_5
5,Schaefer2018_17Networks_LH_VisCent_ExStr_6,1,VisCent,6,17Networks_LH_VisCent_ExStr_6,-42,-86,-4,lh_17Networks_LH_VisCent_ExStr_6,VisCent_ExStr_6,X17Networks_LH_VisCent_ExStr_6,,,,6,Schaefer2018_17Networks_LH_VisCent_ExStr_6
6,Schaefer2018_17Networks_LH_VisCent_ExStr_7,1,VisCent,7,17Networks_LH_VisCent_Striate_1,-8,-98,-8,lh_17Networks_LH_VisCent_Striate_1,VisCent_Striate_1,X17Networks_LH_VisCent_Striate_1,,,,7,Schaefer2018_17Networks_LH_VisCent_ExStr_7
7,Schaefer2018_17Networks_LH_VisCent_ExStr_8,1,VisCent,8,17Networks_LH_VisCent_ExStr_7,-46,-74,6,lh_17Networks_LH_VisCent_ExStr_7,VisCent_ExStr_7,X17Networks_LH_VisCent_ExStr_7,,,,8,Schaefer2018_17Networks_LH_VisCent_ExStr_8
8,Schaefer2018_17Networks_LH_VisCent_ExStr_9,1,VisCent,9,17Networks_LH_VisCent_ExStr_8,-24,-96,6,lh_17Networks_LH_VisCent_ExStr_8,VisCent_ExStr_8,X17Networks_LH_VisCent_ExStr_8,,,,9,Schaefer2018_17Networks_LH_VisCent_ExStr_9
9,Schaefer2018_17Networks_LH_VisCent_ExStr_10,1,VisCent,10,17Networks_LH_VisCent_ExStr_9,-40,-84,14,lh_17Networks_LH_VisCent_ExStr_9,VisCent_ExStr_9,X17Networks_LH_VisCent_ExStr_9,,,,10,Schaefer2018_17Networks_LH_VisCent_ExStr_10
